month,excess_return,total_return,gross_return,cost,turnover,n_markets,equity_excess,equity_total
1992-10-01,-0.02485937,-0.02259610,-0.02300891,0.00185047,1.905149,20,1.616588,2.038410
1992-11-01,0.00227450,0.00476510,0.00422697,0.00195247,2.216427,20,1.620265,2.048124
1992-12-01,-0.00964343,-0.00686948,-0.00740413,0.00223931,2.112417,20,1.604640,2.034054
1993-01-01,0.01455284,0.01714068,0.01747975,0.00292691,3.840020,20,1.627992,2.068919
1993-02-01,0.04871512,0.05114895,0.05127134,0.00255622,3.629330,20,1.707300,2.174742
1993-03-01,-0.01094054,-0.00846616,-0.00815285,0.00278770,3.143296,20,1.688621,2.156330
1993-04-01,0.01919476,0.02162047,0.02177461,0.00257985,3.245995,20,1.721034,2.202951
1993-05-01,-0.00703892,-0.00459699,-0.00564033,0.00139860,0.849509,20,1.708920,2.192824
1993-06-01,-0.04546844,-0.04289679,-0.04093102,0.00453742,5.348663,20,1.631218,2.098759
1993-07-01,0.04208244,0.04462978,0.04668877,0.00460633,6.724502,20,1.699864,2.192426
1993-08-01,0.02669149,0.02923882,0.02885568,0.00216419,1.816294,20,1.745235,2.256530
1993-09-01,0.03027901,0.03281014,0.03231519,0.00203618,1.893222,20,1.798079,2.330567
1993-10-01,-0.00240928,0.00004077,-0.00022528,0.00218400,2.031342,20,1.793747,2.330662
1993-11-01,0.06074445,0.06329179,0.06344689,0.00270244,3.218246,20,1.902708,2.478174
1993-12-01,0.06527259,0.06790903,0.06793990,0.00266731,2.946018,20,2.026902,2.646465
1994-01-01,-0.03497919,-0.03245616,-0.03208660,0.00289259,3.193668,20,1.956003,2.560570
1994-02-01,-0.00890444,-0.00639763,-0.00561616,0.00328829,3.944653,22,1.938586,2.544189
1994-03-01,0.03180268,0.03464935,0.03457330,0.00277062,3.529933,22,2.000238,2.632343
1994-04-01,0.02238043,0.02529976,0.02508218,0.00270175,3.554133,22,2.045004,2.698941
1994-05-01,0.04961278,0.05286240,0.05354679,0.00393400,3.299949,22,2.146462,2.841614
1994-06-01,-0.06417747,-0.06065486,-0.06069266,0.00348481,4.355554,22,2.008708,2.669256
1994-07-01,-0.02596929,-0.02248678,-0.02314175,0.00282755,4.077915,22,1.956543,2.609233
